CID,IUPACName,MolecularFormula,IsomericSMILES,A_site,Conc(mg/ml),H_Acceptors,H_Donors,Rot_bonds,Mol_Wt,TPSA,AvgIpc,Hydrogen,Oxide,Nitrogen,Halide
12495.0,1-iodo-4-nitrobenzene,C6H4INO2,C1=CC(=CC=C1[N+](=O)[O-])I,0.0,1.0,2,0,1,249.007,43.14,2.112066060343762,4,2,1,1
7873.0,diethoxyphosphoryl diethyl phosphate,C8H20O7P2,CCOP(=O)(OCC)OP(=O)(OCC)OCC,0.0,1.0,7,0,14,290.1889999999996,80.29,2.456200608402012,20,7,0,0
31357.0,tributyl phosphate,C12H27O4P,CCCCOP(=O)(OCCCC)OCCCC,0.0,1.0,4,0,15,266.3179999999999,44.760000000000005,2.6804590075286505,27,4,0,0
13134.0,dimethyl hydrogen phosphate,C2H7O4P,COP(=O)(O)OC,0.0,1.0,4,1,5,126.04799999999994,55.760000000000005,1.7790463287912173,7,4,0,0
668.0,(3-hydroxy-2-oxopropyl) dihydrogen phosphate,C3H7O6P,C(C(=O)COP(=O)(O)O)O,0.0,1.0,6,3,7,170.05700000000004,104.06000000000002,2.26804778513899,7,6,0,0
6535.0,triethyl phosphate,C6H15O4P,CCOP(=O)(OCC)OCC,0.0,1.0,4,0,9,182.15600000000012,44.760000000000005,2.1906621023140618,15,4,0,0
9275.0,bis(2-ethylhexyl) hydrogen phosphate,C16H35O4P,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,0.0,1.0,4,1,19,322.42599999999936,55.760000000000005,2.9151041924235703,35,4,0,0
654.0,diethyl hydrogen phosphate,C4H11O4P,CCOP(=O)(O)OCC,0.0,1.0,4,1,7,154.1020000000001,55.760000000000005,2.114427006312835,11,4,0,0
1015.0,2-aminoethyl dihydrogen phosphate,C2H8NO4P,C(COP(=O)(O)O)N,0.0,1.0,5,3,6,141.06300000000007,92.78,2.160693451040874,8,4,1,0
14017.0,aminomethylphosphonic acid,CH6NO3P,C(N)P(=O)(O)O,0.0,1.0,4,3,4,111.03699999999996,83.55000000000001,2.020525571518859,6,3,1,0
255.0,bis(4-nitrophenyl) hydrogen phosphate,C12H9N2O8P,C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)OC2=CC=C(C=C2)[N+](=O)[O-],0.0,1.0,8,1,7,340.1839999999999,142.04000000000002,2.710377374297186,9,8,2,0
12793.0,phenyl dihydrogen phosphate,C6H7O4P,C1=CC=C(C=C1)OP(=O)(O)O,0.0,1.0,4,2,4,174.09200000000004,66.76,2.3859258073610032,7,4,0,0
6327654.0,diethoxy(oxo)phosphanium,C4H10O3P+,CCO[P+](=O)OCC,0.0,1.0,3,0,6,137.09500000000008,35.53,1.9512078475399144,10,3,0,0
74188.0,propyl dihydrogen phosphate,C3H9O4P,CCCOP(=O)(O)O,0.0,1.0,4,2,6,140.07500000000007,66.76,2.146672272555905,9,4,0,0
6327349.0,dibutoxy(oxo)phosphanium,C8H18O3P+,CCCCO[P+](=O)OCCCC,0.0,1.0,3,0,10,193.20300000000015,35.53,2.418336316283397,18,3,0,0
78452.0,octylphosphonic acid,C8H19O3P,CCCCCCCCP(=O)(O)O,0.0,1.0,3,2,10,194.21100000000015,57.53,2.5804338776058726,19,3,0,0
7369.0,benzenesulfonyl chloride,C6H5ClO2S,C1=CC=C(C=C1)S(=O)(=O)Cl,0.0,1.0,2,0,1,176.62400000000002,34.14,2.094639700632517,5,2,0,1
985.0,hexadecanoic acid,C16H32O2,CCCCCCCCCCCCCCCC(=O)O,0.0,1.0,2,1,15,256.43000000000023,37.3,2.8959198920356304,32,2,0,0
12669616.0,4-fluorobenzenesulfinyl chloride,C6H4ClFOS,C1=CC(=CC=C1F)S(=O)Cl,0.0,1.0,1,0,1,178.61500000000004,17.07,2.112066060343762,4,1,0,2
4190003.0,benzenesulfinyl chloride,C6H5ClOS,C1=CC=C(C=C1)S(=O)Cl,0.0,1.0,1,0,1,160.62500000000003,17.07,2.112066060343762,5,1,0,1
7812.0,4-chloroaniline,C6H6ClN,C1=CC(=CC=C1N)Cl,0.0,2.0,1,1,1,127.57399999999997,26.02,2.112066060343762,6,0,1,1
7423.0,3-nitroaniline,C6H6N2O2,C1=CC(=CC(=C1)[N+](=O)[O-])N,0.0,2.0,3,1,2,138.12600000000003,69.16,2.1311082070874128,6,2,2,0
9731.0,4-fluoroaniline,C6H6FN,C1=CC(=CC=C1N)F,0.0,2.0,1,1,1,111.11899999999997,26.02,2.112066060343762,6,0,1,1
7447.0,2-methoxy-5-nitroaniline,C7H8N2O3,COC1=C(C=C(C=C1)[N+](=O)[O-])N,0.0,2.0,4,1,4,168.15200000000007,78.39,2.222235065298829,8,3,2,0
7441.0,2-methyl-4-nitroaniline,C7H8N2O2,CC1=C(C=CC(=C1)[N+](=O)[O-])N,0.0,2.0,3,1,3,152.15300000000008,69.16,2.19646619974411,8,2,2,0
79617.0,4-methylsulfonylaniline,C7H9NO2S,CS(=O)(=O)C1=CC=C(C=C1)N,0.0,2.0,3,1,3,171.2210000000001,60.16,2.2423093982977047,9,2,1,0
11118.0,5-nitro-2-propoxyaniline,C9H12N2O3,CCCOC1=C(C=C(C=C1)[N+](=O)[O-])N,0.0,2.0,4,1,6,196.2060000000001,78.39,2.416055742171281,12,3,2,0
75655.0,4-morpholin-4-ylaniline,C10H14N2O,C1COCCN1C2=CC=C(C=C2)N,0.0,2.0,3,1,2,178.23500000000013,38.49,2.4591716537422985,14,1,2,0
74218.0,5-chloro-2-nitroaniline,C6H5ClN2O2,C1=CC(=C(C=C1Cl)N)[N+](=O)[O-],0.0,2.0,3,1,2,172.57100000000003,69.16,2.183713819573284,5,2,2,1
136315.0,4-(trifluoromethylsulfonyl)aniline,C7H6F3NO2S,C1=CC(=CC=C1N)S(=O)(=O)C(F)(F)F,0.0,2.0,3,1,2,225.191,60.160000000000004,2.2423093982977047,6,2,1,3
