A_site,Conc(mg/ml),H_Acceptors,H_Donors,Rot_bonds,Mol_Wt,TPSA,AvgIpc,Hydrogen,Oxide,Nitrogen,Halide
1.0,30.75,3,0,16,307.4999999999994,57.2,2.835835313550613,33,3,1,0
1.0,6.0,7,1,6,258.069,140.61999999999998,2.165294988497716,5,7,0,0
0.0,0.331,1,1,1,110.18099999999995,0.0,2.1268719300323427,6,0,0,0
1.0,0.3,4,2,5,275.2439999999997,62.46000000000001,3.143600594114721,14,3,1,0
1.0,1.0,4,4,0,200.3300000000002,48.12,2.7431846992919056,24,0,4,0
1.0,4.599901785714286,0,0,14,294.32099999999934,0.0,2.723125614495714,32,0,1,1
1.0,4.0,2,1,7,206.2850000000001,37.3,2.614794598810607,18,2,0,0
1.0,0.5,1,0,3,278.29099999999966,17.07,2.810657880560645,15,1,0,0
0.0,2.266,0,0,0,125.90200000000002,0.0,0.7219280948873623,0,0,0,4
1.0,0.881,3,1,2,176.17500000000007,63.400000000000006,2.5707185789777576,8,2,2,0
1.0,4.0,2,1,0,76.12399999999998,60.29,1.272905595320056,4,0,2,0
1.0,8.712,2,0,0,58.085,23.79,0.9182958340544894,0,0,1,0
1.0,2.0,2,0,0,97.183,23.79,0.9182958340544894,0,0,1,0
1.0,2.0,1,1,3,202.09500000000008,26.02,2.4432806639087143,12,0,1,1
1.0,4.0,1,0,3,278.29099999999966,17.07,2.810657880560645,15,1,0,0
0.0,7.225,3,0,4,144.49400000000003,35.53,1.4340528716182683,6,3,0,1
0.0,1.0,3,1,2,208.23800000000003,54.370000000000005,2.458999293245187,8,3,0,0
0.0,2.0,1,0,24,386.64499999999913,17.07,3.1682725604141795,51,1,0,0
1.0,4.625,2,2,4,154.1690000000001,58.2,2.4112183619528005,10,2,2,0
0.0,0.755,0,0,0,125.90200000000002,0.0,0.7219280948873623,0,0,0,4
1.0,3.0,0,0,0,64.034,0.0,1.3609640474436813,2,0,0,2
1.0,1.0,1,0,7,536.6870000000013,17.07,3.290364863773869,29,1,0,0
1.0,10.0,2,0,4,384.2399999999997,26.3,2.8376747334529906,10,2,0,5
0.0,0.68,6,0,20,680.3510000000015,71.06000000000002,3.5171734763461333,38,6,0,2
0.0,8.0,0,0,5,230.1490000000001,0.0,2.372370800673465,16,0,1,1
1.0,6.0,2,1,0,76.12399999999998,60.29,1.272905595320056,4,0,2,0
1.0,9.243,1,1,4,154.0510000000001,26.02,2.1773735024379004,12,0,1,1
1.0,1.0,2,1,7,206.2850000000001,37.3,2.614794598810607,18,2,0,0
0.0,0.677,6,0,14,338.3999999999996,78.9,2.711124489186409,26,6,0,0
0.0,2.0,4,0,3,305.3149999999996,54.48,2.663595881430782,24,4,3,0
1.0,3.0,4,2,5,275.2439999999997,62.46000000000001,3.143600594114721,14,3,1,0
1.0,2.915,2,0,0,97.183,23.79,0.9182958340544894,0,0,1,0
0.0,1.808,1,0,5,226.02600000000012,8.809999999999999,2.645318335476332,15,0,2,4
1.0,0.216,3,3,1,108.12199999999996,87.17,1.8814083105156787,4,2,2,0
0.0,19.772,1,0,2,236.6380000000001,17.07,2.5400339548165536,10,1,0,1
1.0,20.0,2,3,4,285.14099999999974,80.73,2.870595346961765,13,2,2,1
0.0,4.0,4,0,3,305.3149999999996,54.48,2.663595881430782,24,4,3,0
1.0,15.0,2,0,4,384.2399999999997,26.3,2.8376747334529906,10,2,0,5
0.0,12.0,0,0,5,185.6980000000001,0.0,2.372370800673465,16,0,1,1
0.0,4.599901785714286,6,0,6,654.7770000000012,53.46,2.948934869909117,30,0,6,0
0.0,4.599901785714286,1,0,3,347.18099999999976,17.07,2.810657880560645,13,1,0,2
